UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
WinterFluffyFolf,@WinterFolf340,2022-01-03T23:45:37.000Z,"WinterFluffyFolf
@WinterFolf340
·
4 Jan 2022","Replying to 
@CYBERDRAGONBETA
Chicken Nuggets And Coca Cola
1
2",❄ 🦊 🐺 ❄,1,,2,[],https://twitter.com/WinterFolf340/status/1478150586705006595
Swiftanium,@Swiftanium_YT,2022-01-03T23:44:51.000Z,"Swiftanium
@Swiftanium_YT
·
4 Jan 2022","So Mountain Dew, Pepsi, Coca-Cola and other beverages can discontinue their flavors??? I know snacks can do that. But drinks??? Wow. I didn't even know that. Niw i know why my favorite beverage flavors got removed. I wish i could keep the cans",😢,,,,[],https://twitter.com/Swiftanium_YT/status/1478150396724101121
syl,@hooniversestar,2022-01-03T23:44:47.000Z,"syl
@hooniversestar
·
4 Jan 2022","The reddest lips stuff that I have is this etude color lips-fit rd301 but I have a cocacola cherry lip smacker. So either red or cocacola,  woozi_universefactory please choose   

#WOOZI #우지
#Ruby #루비 
#강렬한_이끌림_우지_Ruby
1
1",😂,1,,1,['https://pbs.twimg.com/media/FINx7PYVEAMuPg7?format=jpg&name=small'],https://twitter.com/hooniversestar/status/1478150377400721408
Ayesha,@ayesshaew,2022-01-03T23:42:48.000Z,"Ayesha
@ayesshaew
·
4 Jan 2022",it’s Coca Cola not coco cola ,💀,,,,[],https://twitter.com/ayesshaew/status/1478149877335048192
Bullfrag,@Bullfrag_com,2022-01-03T23:42:06.000Z,"Bullfrag
@Bullfrag_com
·
4 Jan 2022","Pepsi takes advantage of Coca-Cola’s identity to make this controversial advertisement
bullfrag.com
Pepsi takes advantage of Coca-Cola’s identity to make this controversial advertisement",,,,,[],https://twitter.com/Bullfrag_com/status/1478149701291712521
kath⁷ ☆彡,@dreamyjinnie_,2022-01-03T23:41:56.000Z,"kath⁷ ☆彡
@dreamyjinnie_
·
4 Jan 2022","well, just so everyone knows, adding milo chocolate milk drink in coca cola is good and also adding chuckie chocolate milk drink + coca cola is good IT TASTES LIKE HEAVEN",,,,,[],https://twitter.com/dreamyjinnie_/status/1478149661164654593
steezbella22,@steezbella1,2022-01-03T23:41:24.000Z,"steezbella22
@steezbella1
·
4 Jan 2022","Enjoy an ice cold 
@CocaCola
 ...en let the real magic begin 
#cocacola
1",,,,1,['https://pbs.twimg.com/media/FINxJesX0AYPIv_?format=jpg&name=small'],https://twitter.com/steezbella1/status/1478149524560490503
maria.,@cintchas,2022-01-03T23:39:24.000Z,"maria.
@cintchas
·
4 Jan 2022","Replying to 
@CocaCola_Br
HAHAHAHAHAHAHA fechou! 
1",🥰,1,,,[],https://twitter.com/cintchas/status/1478149022166573056
BIG RIG (formerly TxBig Rig),@txbigrig56,2022-01-03T23:39:08.000Z,"BIG RIG (formerly TxBig Rig)
@txbigrig56
·
4 Jan 2022",Same one I've been choosing for 60 years. Coca-Cola. First word I learn to spell. Older sis would call our mom and ask if she would bring home a  c-o-k-e. Spell it out. The good memories.,,,,,[],https://twitter.com/txbigrig56/status/1478148956580319235
Sopherus,@VappyNot,2022-01-03T23:38:19.000Z,"Sopherus
@VappyNot
·
4 Jan 2022","Replying to 
@MarkSmith624
 @ramiro_eg
  and 4 others
You're.. metabolizing coca cola. So honestly, yes, you are ""practically"" injecting it into you.
2",,2,,,[],https://twitter.com/VappyNot/status/1478148752380678148
NutSo-CrazyLady,@CrazyLadyTrader,2022-01-03T23:37:45.000Z,"NutSo-CrazyLady
@CrazyLadyTrader
·
4 Jan 2022","Replying to 
@FlashPointCap12
 and 
@MarketRebels
F finally. This pain. At this point I am gonna believe in my love for pain. I am in Tesla for so long= max pain. These metals...O man...memestocks.

Sometimes I wish I just put it all in CocaCola and be done.
6",,,,6,[],https://twitter.com/CrazyLadyTrader/status/1478148607731720193
Gab,@LitttleMissGaby,2022-01-03T23:37:28.000Z,"Gab
@LitttleMissGaby
·
4 Jan 2022",ALSO me: *continues to open up a can of Coca Cola*,💋,,,,[],https://twitter.com/LitttleMissGaby/status/1478148537552572418
Shane Roth,@apexnerd,2022-01-03T23:37:15.000Z,"Shane Roth
@apexnerd
·
4 Jan 2022",...I invest the quarter in Coca-Cola stock...,,,,,[],https://twitter.com/apexnerd/status/1478148483475329024
I AM JOEL,@DJoelAdebayoLaw,2022-01-03T23:36:48.000Z,"I AM JOEL
@DJoelAdebayoLaw
·
4 Jan 2022","Replying to 
@nosafk
Do you know what give you away as wanting to attack the Yoruba's in the first place

Your last paragraph was added throw smokes to your real intentions....

If you were good enough to be employed by coca-cola as a non yoruba..then something else got you kicked out..
1",,1,,,['https://pbs.twimg.com/media/FINwGj0XEAM-OII?format=jpg&name=900x900'],https://twitter.com/DJoelAdebayoLaw/status/1478148367360352260
Karra,@katyscarnival,2022-01-03T23:36:27.000Z,"Karra
@katyscarnival
·
4 Jan 2022","she's a co-founder, she's gonna found pepsi or coca cola soon, y'all get ready.
Chris is PLAYing
@ChrisAntonacci1
·
3 Jan 2022
Plsss this is so random  non alcoholic spritzers but yass get your coins mom
1
1",🤍 🍄 😭,1,,1,"['https://pbs.twimg.com/profile_images/1534675152029376512/MvD0LMmR_mini.jpg', 'https://pbs.twimg.com/media/FILw5TkXIAUh3Zq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FILw5TlWUAMq7Jo?format=jpg&name=360x360']",https://twitter.com/katyscarnival/status/1478148279053393920
Matt Walsh,@_MBW,2022-01-03T23:35:52.000Z,"Matt Walsh
@_MBW
·
4 Jan 2022","If I recall correctly a coca-cola plant shut down many years ago in Newfoundland which caused a soft drink rift, most people wrote off coke and I don’t think you can find it in the fountain variety in most bars.

I don’t drink either but when I did I preferred coke.",,,,,[],https://twitter.com/_MBW/status/1478148133150502914
JUNGKOOKIE,@GabaMarcinek,2022-01-03T23:34:41.000Z,"JUNGKOOKIE
@GabaMarcinek
·
4 Jan 2022",Big Mac x2 Fries x1 20 mcnuggets with 3 mayonaise sauce Coca cola,,,,,"['https://pbs.twimg.com/media/FINvhnDXwAMrmFx?format=jpg&name=small', 'https://pbs.twimg.com/media/FINvnWzWQAIo_yt?format=jpg&name=small']",https://twitter.com/GabaMarcinek/status/1478147836235636738
Detty,@0ddette,2022-01-03T23:33:56.000Z,"Detty
@0ddette
·
4 Jan 2022","Replying to 
@MULTITRILLIONA2
 and 
@fixedpt_thms
You’re being very obtuse. The point is selectively knocking out segments of the economy in an age of hyper-concentration of power and wealth is dangerous and further compounds the problem. The intense hatred for non-conglomerates is bizarre. Are Coca Cola & Disney angels now ?
1",,1,,,[],https://twitter.com/0ddette/status/1478147645931728903
