Username,Tweet URL,Timestamp,Comments,Likes,Retweets,Quotes,emoji_sent,neg,neu,pos,compound,word_token
AuntCurlymane,https://twitter.com/AuntCurlymane/status/1477318612868382725,2022-01-01,1,0,0,0,0.412,0.0,0.0,0.0,0.0,"deezydev,second,show,game,still"
Jedi_Marcos,https://twitter.com/Jedi_Marcos/status/1477315377981968384,2022-01-01,0,1,0,0,0.503,0.0,0.0,0.0,0.0,"insan,amount,backlog,crash,bandicoot,trilog"
GameTyrant,https://twitter.com/GameTyrant/status/1477278595215151115,2022-01-01,0,1,1,0,0.0,0.0,0.0,0.0,0.0,"game,look,back,splitgat,gamingnew,splitgat,freetoplay,action,fp,yearend,stat,splitgat,pcgame,xbox"
CloakedStoat,https://twitter.com/CloakedStoat/status/1477208442897117187,2022-01-01,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"go,effect,end,even,ignor,score,build,hunt,pvt,shortli,door,open,buddi,bore"
Fiesta_Bowl,https://twitter.com/Fiesta_Bowl/status/1477172835374166019,2022-01-01,7,204,36,4,0.74,0.0,0.0,0.0,0.0,"𝐻𝒶𝓅𝓅𝓎,𝒩𝑒𝓌,𝒴𝑒𝒶𝓇,cowboyfb,ndfootbal,colleg,footbal,fan,everywher,wait,kickoff,later,morn,fiestabowl"
BillyMac2017,https://twitter.com/BillyMac2017/status/1477136313770024966,2022-01-01,1,2,0,0,0.1195,0.0,0.0,0.0,0.0,"accord,espn,colleg,game,day,morn,ou,play,footbal,game,day,notr,dame,fiesta,bowl,tomorrow,oop,lol"
JonBizkit360,https://twitter.com/JonBizkit360/status/1477135776295133185,2022-01-01,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"cheer,game,laptop,cheer,cheer,game,rig,cheer,night,nye,drunk,loner,cheer,la,vega,nevada"
FutureMrsMayes,https://twitter.com/FutureMrsMayes/status/1477121703692046339,2022-01-01,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"sukyoldgam,allmericanmay,brentscajun,soni,cowboyfb"
spaceman87,https://twitter.com/spaceman87/status/1477106062880694276,2022-01-01,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"money,sign,p,network,rip,said,would"
bartigue_,https://twitter.com/bartigue_/status/1477100691827089415,2022-01-01,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"happi,new,year"
sin_oved,https://twitter.com/sin_oved/status/1477087405589123075,2022-01-01,0,2,0,0,0.0,0.0,0.0,0.0,0.0,"home,play,welcom,new,year"
SpaceGangsta_93,https://twitter.com/SpaceGangsta_93/status/1477073499227369476,2022-01-01,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"say,soni,releas,anniversari,color,dualsens,cop"
landonh9974,https://twitter.com/landonh9974/status/1477781703527649281,2022-01-02,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"damonkempww,xbox"
IceCold_OG,https://twitter.com/IceCold_OG/status/1477777000282664966,2022-01-02,0,2,0,0,0.007,0.0,0.0,0.0,0.0,"dawg,look,last,year,lol,done,pay,resal,ticket,nah,give,game,good"
KnuckleClown,https://twitter.com/KnuckleClown/status/1477772155219857415,2022-01-02,0,2,0,0,0.0,0.0,0.0,0.0,0.0,"papapuerto,nice,xbox,wider,distribut,game,ad,pc,excit,new,one,next,month"
NickolasZombie,https://twitter.com/NickolasZombie/status/1477767916057677838,2022-01-02,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"playstationsup,realli,cant,hold,anyon,day,noth,done,refund"
AaronScanlan,https://twitter.com/AaronScanlan/status/1477737529604464641,2022-01-02,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"antonio,brown,wildest,career,could,mayb,challeng,jerri,rice,record,steeler,shut,mod,game"
DrProfesorEdel,https://twitter.com/DrProfesorEdel/status/1477682664496943116,2022-01-02,0,3,0,0,-0.171,0.0,0.0,0.0,0.0,"se,cancela,mi,fiesta,de,cumpleaño,por,la,pandemia,hay,que,seguir,cuidándono,usar,el,dinero,para,comprarm,el"
KingChriis1,https://twitter.com/KingChriis1/status/1477673233453309952,2022-01-02,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"bloodborn,easili,one,overr,game,ever,made,shit,suck"
kurtjunior_,https://twitter.com/kurtjunior_/status/1477668955070377987,2022-01-02,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"post,photo,fiesta,bowl"
LAhWiLL985_,https://twitter.com/LAhWiLL985_/status/1477662034019995653,2022-01-02,0,0,0,1,0.0,0.0,0.0,0.0,0.0,need
